column,start,length
KEY,0,14
HOSPID,14,5
APRDRG,19,4
APRDRG_Risk_Mortality,23,2
APRDRG_Severity,25,2
APSDRG,27,5
APSDRG_Charge_Weight,32,10
APSDRG_LOS_Weight,42,10
APSDRG_Mortality_Weight,52,10
CM_AIDS,62,2
CM_ALCOHOL,64,2
CM_ANEMDEF,66,2
CM_ARTH,68,2
CM_BLDLOSS,70,2
CM_CHF,72,2
CM_CHRNLUNG,74,2
CM_COAG,76,2
CM_DEPRESS,78,2
CM_DM,80,2
CM_DMCX,82,2
CM_DRUG,84,2
CM_HTN_C,86,2
CM_HYPOTHY,88,2
CM_LIVER,90,2
CM_LYMPH,92,2
CM_LYTES,94,2
CM_METS,96,2
CM_NEURO,98,2
CM_OBESE,100,2
CM_PARA,102,2
CM_PERIVASC,104,2
CM_PSYCH,106,2
CM_PULMCIRC,108,2
CM_RENLFAIL,110,2
CM_TUMOR,112,2
CM_ULCER,114,2
CM_VALVE,116,2
CM_WGHTLOSS,118,2
DS_DX_Category1,120,5
DS_LOS_Level,125,2
DS_LOS_Scale,127,12
DS_Mrt_Level,139,2
DS_Mrt_Scale,141,12
DS_RD_Level,153,2
DS_RD_Scale,155,12
DS_Stage1,167,5
