column,start,length
HOSPID,0,5
KEY,5,14
APRDRG,19,4
APRDRG_Risk_Mortality,23,2
APRDRG_Severity,25,2
CM_AIDS,27,2
CM_ALCOHOL,29,2
CM_ANEMDEF,31,2
CM_ARTH,33,2
CM_BLDLOSS,35,2
CM_CHF,37,2
CM_CHRNLUNG,39,2
CM_COAG,41,2
CM_DEPRESS,43,2
CM_DM,45,2
CM_DMCX,47,2
CM_DRUG,49,2
CM_HTN_C,51,2
CM_HYPOTHY,53,2
CM_LIVER,55,2
CM_LYMPH,57,2
CM_LYTES,59,2
CM_METS,61,2
CM_NEURO,63,2
CM_OBESE,65,2
CM_PARA,67,2
CM_PERIVASC,69,2
CM_PSYCH,71,2
CM_PULMCIRC,73,2
CM_RENLFAIL,75,2
CM_TUMOR,77,2
CM_ULCER,79,2
CM_VALVE,81,2
CM_WGHTLOSS,83,2
DS_DX_Category1,85,5
DS_Stage1,90,5
