column,start,length
AHAID,0,7
DISCWT,7,11
HFIPSSTCO,18,5
H_CONTRL,23,2
HOSPADDR,25,30
HOSPCITY,55,20
HOSPID,75,5
HOSPNAME,80,30
HOSPST,110,2
HOSPSTCO,112,5
HOSPWT,117,11
HOSPZIP,128,5
HOSP_BEDSIZE,133,2
HOSP_CONTROL,135,2
HOSP_LOCATION,137,2
HOSP_LOCTEACH,139,2
HOSP_REGION,141,2
HOSP_TEACH,143,2
IDNUMBER,145,6
NIS_STRATUM,151,4
N_DISC_U,155,8
N_HOSP_U,163,4
S_DISC_U,167,6
S_HOSP_U,173,4
TOTAL_DISC,177,6
YEAR,183,4
HOSP_RNPCT,187,3
HOSP_RNFTEAPD,190,4
HOSP_LPNFTEAPD,194,4
HOSP_NAFTEAPD,198,4
HOSP_OPSURGPCT,202,3
HOSP_MHSMEMBER,205,2
HOSP_MHSCLUSTER,207,2
