column,start,length
HOSP_NIS,0,5
KEY_NIS,5,10
APRDRG,15,4
APRDRG_Risk_Mortality,19,2
APRDRG_Severity,21,2
CM_AIDS,23,2
CM_ALCOHOL,25,2
CM_ANEMDEF,27,2
CM_ARTH,29,2
CM_BLDLOSS,31,2
CM_CHF,33,2
CM_CHRNLUNG,35,2
CM_COAG,37,2
CM_DEPRESS,39,2
CM_DM,41,2
CM_DMCX,43,2
CM_DRUG,45,2
CM_HTN_C,47,2
CM_HYPOTHY,49,2
CM_LIVER,51,2
CM_LYMPH,53,2
CM_LYTES,55,2
CM_METS,57,2
CM_NEURO,59,2
CM_OBESE,61,2
CM_PARA,63,2
CM_PERIVASC,65,2
CM_PSYCH,67,2
CM_PULMCIRC,69,2
CM_RENLFAIL,71,2
CM_TUMOR,73,2
CM_ULCER,75,2
CM_VALVE,77,2
CM_WGHTLOSS,79,2
